All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                      meta_contigs_1_to_meta_ref_2__Lactobacillus_delbrueckii_bulgaricus_ATCC_BAA-365_32_60k.fa  meta_contigs_2_to_meta_ref_2__Lactobacillus_delbrueckii_bulgaricus_ATCC_BAA-365_32_60k.fa
# misassemblies               0                                                                                          0                                                                                        
    # relocations             0                                                                                          0                                                                                        
    # translocations          0                                                                                          0                                                                                        
    # inversions              0                                                                                          0                                                                                        
# misassembled contigs        0                                                                                          0                                                                                        
Misassembled contigs length   0                                                                                          0                                                                                        
# local misassemblies         0                                                                                          0                                                                                        
# mismatches                  14                                                                                         15                                                                                       
# indels                      0                                                                                          0                                                                                        
    # short indels (<= 5 bp)  0                                                                                          0                                                                                        
    # long indels (> 5 bp)    0                                                                                          0                                                                                        
Indels length                 0                                                                                          0                                                                                        
