At1g01040.0_1 100 1032
At1g01040.0_1 1123 1236
At1g01040.0_1 1333 1543
At1g01040.0_1 1622 2016
At1g01040.0_1 2105 2324
At1g01040.0_1 2406 2578
At1g01040.0_1 2662 2784
At1g01040.0_1 2873 3033
At1g01040.0_1 3124 3357
At1g01040.0_1 3443 3593
At1g01040.0_1 3680 3862
At1g01040.0_1 3953 4114
At1g01040.0_1 4199 4294
At1g01040.0_1 4384 5012
At1g01040.0_1 5289 5386
At1g01040.0_1 5471 5661
At1g01040.0_1 5741 6646
At1g01040.0_1 6728 6892
At1g01040.0_1 6991 7397
At1g01040.0_1 7483 7660

At1g01230.0_1 100 285
At1g01230.0_1 937 1085
At1g01230.0_1 1388 1526

At1g01260.0_1 100 1872

At1g01500.0_1 100 849
At1g01500.0_1 1180 1413

At1g01550.0_1 100 1149

At1g02690.0_1 100 321
At1g02690.0_1 563 659
At1g02690.0_1 756 847
At1g02690.0_1 940 1071
At1g02690.0_1 1203 1388
At1g02690.0_1 1482 1645
At1g02690.0_1 1726 1804
At1g02690.0_1 1895 2023
At1g02690.0_1 2142 2269
At1g02690.0_1 2352 2739

At1g02790.0_1 100 306
At1g02790.0_1 405 707
At1g02790.0_1 796 1299
At1g02790.0_1 1390 1644

At1g02920.0_1 100 249
At1g02920.0_1 334 382
At1g02920.0_1 489 919

At1g03980.0_1 100 171
At1g03980.0_1 528 684
At1g03980.0_1 751 989
At1g03980.0_1 1153 1316
At1g03980.0_1 1407 1458
At1g03980.0_1 1557 1784
At1g03980.0_1 1879 2065
At1g03980.0_1 2192 2367
At1g03980.0_1 2577 2660

At1g04070.0_1 100 384

At1g04190.0_1 100 257
At1g04190.0_1 579 672
At1g04190.0_1 787 837
At1g04190.0_1 928 1101
At1g04190.0_1 1210 1389
At1g04190.0_1 1468 1587
At1g04190.0_1 1667 1800
At1g04190.0_1 1965 2040

At1g04550.0_1 100 302
At1g04550.0_1 575 861
At1g04550.0_1 943 1060
At1g04550.0_1 1134 1195
At1g04550.0_1 1279 1328

At1g04710.0_1 100 177
At1g04710.0_1 416 480
At1g04710.0_1 566 650
At1g04710.0_1 732 858
At1g04710.0_1 947 1045
At1g04710.0_1 1126 1193
At1g04710.0_1 1291 1398
At1g04710.0_1 1482 1559
At1g04710.0_1 1665 1797
At1g04710.0_1 1891 1987
At1g04710.0_1 2064 2187
At1g04710.0_1 2293 2401
At1g04710.0_1 2467 2550
At1g04710.0_1 2639 2715

At1g04750.0_1 100 289
At1g04750.0_1 796 937
At1g04750.0_1 1017 1137
At1g04750.0_1 1327 1389
At1g04750.0_1 1526 1669

At1g04930.0_1 100 648
At1g04930.0_1 1206 1258
At1g04930.0_1 1381 1420
At1g04930.0_1 1511 1591
At1g04930.0_1 1964 2077
At1g04930.0_1 2223 2302
At1g04930.0_1 2461 2542

At1g05180.0_1 100 185
At1g05180.0_1 278 450
At1g05180.0_1 545 708
At1g05180.0_1 961 1071
At1g05180.0_1 1196 1275
At1g05180.0_1 1390 1543
At1g05180.0_1 1626 1719
At1g05180.0_1 1896 1984
At1g05180.0_1 2096 2169
At1g05180.0_1 2257 2419
At1g05180.0_1 2561 2646
At1g05180.0_1 2956 3039
At1g05180.0_1 3129 3309
At1g05180.0_1 3435 3518

At1g05510.0_1 100 245
At1g05510.0_1 589 992
At1g05510.0_1 1088 1263

At1g06520.0_1 100 987
At1g06520.0_1 1128 1997

At1g06540.0_1 100 381
At1g06540.0_1 490 585

At1g06730.0_1 100 477
At1g06730.0_1 716 963
At1g06730.0_1 1452 1743
At1g06730.0_1 1825 1977
At1g06730.0_1 2121 2516

At1g07280.0_1 100 755
At1g07280.0_1 1584 1836

At1g07370.0_1 100 418
At1g07370.0_1 611 763
At1g07370.0_1 847 944
At1g07370.0_1 1057 1278

At1g07890.0_1 100 218
At1g07890.0_1 306 480
At1g07890.0_1 586 651
At1g07890.0_1 804 938
At1g07890.0_1 1030 1109
At1g07890.0_1 1183 1285
At1g07890.0_1 1373 1431
At1g07890.0_1 1515 1530

At1g08460.0_1 100 343
At1g08460.0_1 494 1080
At1g08460.0_1 1740 2042

At1g08510.0_1 100 597
At1g08510.0_1 679 812
At1g08510.0_1 1040 1153
At1g08510.0_1 1381 1552
At1g08510.0_1 1643 1963

At1g08520.0_1 100 210
At1g08520.0_1 326 418
At1g08520.0_1 842 937
At1g08520.0_1 1186 1329
At1g08520.0_1 1409 1615
At1g08520.0_1 1682 1837
At1g08520.0_1 2028 2135
At1g08520.0_1 2236 2370
At1g08520.0_1 2470 2628
At1g08520.0_1 2733 2853
At1g08520.0_1 2949 3034

At1g08560.0_1 100 1032

At1g09150.0_1 100 110
At1g09150.0_1 711 792
At1g09150.0_1 889 956
At1g09150.0_1 1058 1155
At1g09150.0_1 1675 1811
At1g09150.0_1 1894 1961
At1g09150.0_1 2211 2274
At1g09150.0_1 2392 2409

At1g09350.0_1 100 405
At1g09350.0_1 496 819
At1g09350.0_1 973 1124
At1g09350.0_1 1204 1426

At1g10550.0_1 100 313
At1g10550.0_1 467 567
At1g10550.0_1 692 900
At1g10550.0_1 1392 1800

At1g10950.0_1 100 189
At1g10950.0_1 1103 1295
At1g10950.0_1 1400 1504
At1g10950.0_1 1828 1845
At1g10950.0_1 1940 2037
At1g10950.0_1 2119 2271
At1g10950.0_1 2499 2633
At1g10950.0_1 2783 2949
At1g10950.0_1 3062 3156
At1g10950.0_1 3241 3614
At1g10950.0_1 3975 4248
At1g10950.0_1 4333 4400

At1g10960.0_1 100 546

At1g11310.0_1 100 222
At1g11310.0_1 411 468
At1g11310.0_1 584 849
At1g11310.0_1 943 1059
At1g11310.0_1 1153 1213
At1g11310.0_1 1284 1447
At1g11310.0_1 1531 1625
At1g11310.0_1 1712 1761
At1g11310.0_1 1848 1888
At1g11310.0_1 1968 2141
At1g11310.0_1 2232 2267
At1g11310.0_1 2353 2420
At1g11310.0_1 2510 2570
At1g11310.0_1 2664 3071

At1g11650.0_1 100 360
At1g11650.0_1 633 1098
At1g11650.0_1 2226 2284
At1g11650.0_1 2372 2502
At1g11650.0_1 2621 2717
At1g11650.0_1 2943 3146

At1g12360.0_1 100 172
At1g12360.0_1 880 938
At1g12360.0_1 1042 1123
At1g12360.0_1 1216 1294
At1g12360.0_1 1376 1426
At1g12360.0_1 1522 1618
At1g12360.0_1 1703 1735
At1g12360.0_1 1901 2026
At1g12360.0_1 2103 2294
At1g12360.0_1 2439 2522
At1g12360.0_1 2612 2710
At1g12360.0_1 2793 2866
At1g12360.0_1 3100 3196
At1g12360.0_1 3423 3548
At1g12360.0_1 3640 3735
At1g12360.0_1 3819 3938
At1g12360.0_1 4017 4091
At1g12360.0_1 4185 4384
At1g12360.0_1 4630 4720
At1g12360.0_1 4823 4912
At1g12360.0_1 5016 5072

At1g12810.0_1 100 142
At1g12810.0_1 262 559
At1g12810.0_1 1240 1288

At1g12970.0_1 100 690
At1g12970.0_1 1118 1284
